id,name,latitude,longitude,,,,,,,,,
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37.98863,23.76527,,,,,,,,,
10990,Athens Quality Apartments - Deluxe Apartment,37.98903,23.76448,,,,,,,,,
10993,Athens Quality Apartments - Studio,37.98888,23.76473,,,,,,,,,
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",37.98903,23.76448,,,,,,,,,
27262,"54m2, 1-br, cable tv, wi-fi, metro",37.98924,23.765,,,,,,,,,
28186,❤️Deluxe central loft near Acropolis❤️,37.9768,23.72924,,,,,,,,,
31155,sleep on sailing boat,37.97962,23.71589,,,,,,,,,
33945,Spacious Cosy aprtm very close to Metro!,38.00853,23.72938,,,,,,,,,
40150,Syntagma Heart of Athens free wifi,37.97968,23.73037,,,,,,,,,
48635,Athensstay!Welcome home!metroAttiki,38.00061,23.72128,,,,,,,,,
49489,3bdr apt in the heart of Athens,37.97692,23.7304,,,,,,,,,
54637,Penthouse Parthenon view in Athens,37.96811,23.74345,,,,,,,,,
59663,ATHENS spacious apt Ideal location,37.99095,23.72195,,,,,,,,,
60394,Cosy 1 bedroom apt! Great central Athens location!,37.96543,23.74025,,,,,,,,,
80598,Athens in old historic neighborhood,37.99429,23.70901,,,,,,,,,
82239,Charming 1BR near Acropolis!,37.96528,23.72413,,,,,,,,,
83097,House In Centre,37.96403,23.74407,,,,,,,,,
85400,Plaka area Close to Acropolis  Museum,37.97447,23.72917,,,,,,,,,
85539,The Heart Of Athens,37.99183,23.7298,,,,,,,,,
107433,Athen downtown New Private Bedroom 41,37.98546,23.72861,,,,,,,,,
114570,"""Loft in Space"" | 7th Floor Studio",37.98568,23.73388,,,,,,,,,
119682,Acropolis apartment  GREAT LOCATION,37.9726,23.72536,,,,,,,,,
131133,"Amazing view  2-4/p, Athens center",38.00172,23.74866,,,,,,,,,
133906,Amazing view -2 bedr. sleep 4-7/p ,38.00172,23.74866,,,,,,,,,
138386,"Apartment Dora , Service with style",37.96783,23.7497,,,,,,,,,
144482,NeoClassical Apt: 30meters from Olympic Stadium!,37.96937,23.7417,,,,,,,,,
145478,60m2-AthensCenter-High Class area- Kolonaki,37.97684,23.74206,,,,,,,,,
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,37.98652,23.73528,,,,,,,,,
155654,"Acropolis cosy  apartment, Koukaki",37.96791,23.72933,,,,,,,,,
157869,Kallimarmaro 2B/R Apartment,37.966,23.74443,,,,,,,,,
167416,"Apartment in Central Athens, Greece",38.00773,23.7387,,,,,,,,,
179705,Great Central location - Athens,37.97537,23.73337,,,,,,,,,
185936,New apartmenrt in Athens!,37.97911,23.70917,,,,,,,,,
196935,Large living space near Syntagma,37.97503,23.73236,,,,,,,,,
200014,"Acropolis view, central location",37.97904,23.70738,,,,,,,,,
201028,SPACE IN ATHENS WITH BREAKFAST 64,37.98544,23.72699,,,,,,,,,
203147,Athens downtown NEW Private bedroom 34,37.9854,23.7278,,,,,,,,,
203157,6-2 - SINGLE BEDS ROOM BREAKFAST TVWIFI 62,37.98429,23.72914,,,,,,,,,
203174,Athen downtown New Private Bedroom 42,37.98448,23.72699,,,,,,,,,
209816,Athens downtown NEW GROUPS 9 PERS App.,37.98532,23.72782,,,,,,,,,
222637,Luxury 3 bdr Apartment with Acropolis view,37.96101,23.73623,,,,,,,,,
240960,ATHENS DESIGNER'S LOFT DOWNTOWN,37.97952,23.72367,,,,,,,,,
251361,A relaxing house overlooking Athens,38.01719,23.74506,,,,,,,,,
