wkt_geom,fid,BTKS_BIOTO,BTKS_CODE,BTKS_DATE_,BTKS_DAT00,BTKS_ACTIF,BTKS_URL_F,BTKS_ORIGI,BTKS_NUM_O,TRIA_ID,BTKS_TRIAG,CCAD_ID,BTKS_COMMU,BTKS_ANCIE,SECC_ID,BTKS_SECTI,BTKS_MILIE,MAP_LABEL,MI_PRINX,waterways,Area,wet_types
"MultiPolygonZ (((70201.90068125147081446 72716.35410630836850032 0, 70195.5897904502635356 72724.45595983073872048 0, 70197.69342071733262856 72727.87674242907087319 0, 70198.17189348395913839 72730.75740145925374236 0, 70201.01798149234673474 72731.18749985612521414 0, 70201.14172444923315197 72731.06747239653486758 0, 70204.32604320644168183 72729.73716805272852071 0, 70208.84678589801478665 72729.73716805272852071 0, 70211.76711968053132296 72731.59759367638616823 0, 70211.76711968053132296 72733.45801930004381575 0, 70211.7011234368692385 72733.54803989474021364 0, 70214.91844031590153463 72732.277749280736316 0, 70221.9387907365889987 72728.23682480784191284 0, 70228.07644139815238304 72722.62554107198957354 0, 70236.32597185725171585 72715.01379967627872247 0, 70239.24630563976825215 72709.70258458938042168 0, 70244.89723400423827115 72696.67960522379144095 0, 70250.72140250835218467 72686.74733294265752193 0, 70256.71881115212454461 72674.23447028033842798 0, 70254.31819778852513991 72673.03419568442041054 0, 70247.80931825630250387 72683.48658695712219924 0, 70241.98514975218859036 72692.91874482328421436 0, 70232.7291765770787606 72703.37113609597145114 0, 70221.41907031767186709 72714.67372187410364859 0, 70215.08343092509312555 72719.81489805990713648 0, 70209.77073330942948814 72720.50505595254071523 0, 70205.31598686153301969 72718.78466236508393195 0, 70201.90068125147081446 72716.35410630836850032 0)))",164,BK_070112347,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070112347.pdf,F,66,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070112347 (BK10),F_BK_070112347,yes,694.079,Wet meadows
"MultiPolygonZ (((72651.14502690298832022 73304.3686308432079386 0, 72608.67644409959029872 73264.27945933991577476 0, 72567.40404321276582778 73229.7515601309860358 0, 72548.65286047925474122 73214.5880910693667829 0, 72540.41157955062226392 73207.92656706208072137 0, 72536.58379741761018522 73206.42622381719411351 0, 72534.89264367349096574 73207.87655562059080694 0, 72528.13627822749549523 73210.87724211034947075 0, 72518.37708369440224487 73213.87792860012268648 0, 72510.75451755020185374 73213.87792860012268648 0, 72509.10461145837325603 73218.12890112728928216 0, 72509.37684596353210509 73218.37895833476795815 0, 72524.76222026972391177 73225.51058989211742301 0, 72540.13934504547796678 73237.89342280656273942 0, 72544.63533914567960892 73247.35558753763325512 0, 72550.64924685035657603 73260.02848681274917908 0, 72560.73842260181845631 73288.80507024961116258 0, 72560.77967025412363 73288.91509542090352625 0, 72563.49376577515795361 73290.77552104456117377 0, 72594.27276391802297439 73268.42040669579000678 0, 72643.95968587312381715 73313.84079786257643718 0, 72650.25407761341193691 73305.53889857421745546 0, 72651.14502690298832022 73304.3686308432079386 0)))",157,BK_070112315,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070112315.pdf,F,57,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070112315 (BK10),F_BK_070112315,yes,3718.549,Wet meadows
"MultiPolygonZ (((72601.95307677543314639 73303.07833565260807518 0, 72594.00877894333098084 73300.95785053317376878 0, 72593.29106979339849204 73301.21791002895042766 0, 72568.61672419025853742 73294.46636542698252015 0, 72575.7855661592038814 73301.29792833534884267 0, 72584.41457501941476949 73314.06084820516116451 0, 72584.46407220217224676 73315.06107703507586848 0, 72584.79405342052632477 73322.68282071908470243 0, 72584.18358816656109411 73323.29296030534897 0, 72591.59166651881241705 73339.30662387239863165 0, 72603.21525493568333331 73350.06908608236699365 0, 72606.42432228426332586 73348.83880462156957947 0, 72614.31087340315571055 73345.81811355520039797 0, 72627.51837166814948432 73332.30502206293749623 0, 72631.27190802704717498 73328.45414106774842367 0, 72629.81174113578163087 73327.19385274204250891 0, 72601.95307677543314639 73303.07833565260807518 0)))",158,BK_070112316,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070112316.pdf,F,58,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070112316 (BK10),F_BK_070112316,yes,1531.177,Wet meadows
"MultiPolygonZ (((71343.85018458146078046 73332.87515249599528033 0, 71332.73806705306924414 73329.93447973602451384 0, 71327.45011802879162133 73330.72466051166702528 0, 71309.66413035898585804 73323.70305412560992409 0, 71293.445553476412897 73352.24958493160374928 0, 71316.09876411707955413 73357.8608686674706405 0, 71318.58187278526020236 73354.22003572653920855 0, 71325.02475607380620204 73347.13841561069421005 0, 71337.26705927510920446 73343.5876032644737279 0, 71340.4926256846083561 73340.36686643211578485 0, 71343.85018458146078046 73332.87515249599528033 0)))",159,BK_070112328,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070112328.pdf,F,59,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070112328 (BK10),F_BK_070112328,yes,917.149,Wet meadows
"MultiPolygonZ (((71616.43117001070640981 73422.29560989106539637 0, 71599.35464196039538365 73414.24376781019964255 0, 71587.63205917802406475 73408.20238567746127956 0, 71582.0553765876829857 73405.16169003449613228 0, 71579.72900899821252096 73404.68158019613474607 0, 71564.17039455237681977 73398.81023696449119598 0, 71565.70480721775675192 73401.77091430105792824 0, 71575.23301489801087882 73417.3744840478466358 0, 71580.25697894759650808 73420.81527122278930619 0, 71610.80499023760785349 73431.99782954131660517 0, 71613.08186064432084095 73427.03669454490591306 0, 71616.43117001070640981 73422.29560989106539637 0)))",160,BK_070112331,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070112331.pdf,F,60,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070112331 (BK10),F_BK_070112331,yes,624.593,Wet meadows
"MultiPolygonZ (((71095.55581682376214303 73097.16122643646667711 0, 71093.9884060365438927 73092.78022416139720008 0, 71098.50914872811699752 73071.21529058826854452 0, 71099.90331937570590526 73056.95202747358416673 0, 71101.2892404928279575 73048.96019912249175832 0, 71101.89970574680774007 73048.01998402236495167 0, 71099.20210928667802364 73044.42916252295253798 0, 71090.5071041828050511 73037.12749206450826023 0, 71089.17892977889277972 73035.51712364834384061 0, 71085.63988121194415726 73031.21613967967277858 0, 71079.03200731420656666 73022.86422894982388243 0, 71073.81830406405788381 73019.04335481951420661 0, 71060.59430673814495094 73019.04335481951420661 0, 71046.68559838412329555 73018.34319463856809307 0, 71035.55698179479804821 73018.00311683639301918 0, 71030.68150929348485079 73018.00311683639301918 0, 71024.07363539574726019 73018.00311683639301918 0, 71024.07363539574726019 73030.17590169655159116 0, 71021.98650418959732633 73055.9117894904629793 0, 71018.51345186632534023 73079.21712122765893582 0, 71015.03215001258649863 73102.17237287438183557 0, 71017.81224177729745861 73106.00324929297494236 0, 71024.07363539574726019 73111.21444149687886238 0, 71028.24789780804712791 73111.21444149687886238 0, 71028.33039311264292337 73111.00439344259211794 0, 71029.98854873492382467 73106.69340718562307302 0, 71027.20845697019831277 73102.52245296485489234 0, 71025.46780604333616793 73100.08189461984147783 0, 71022.68771427862520795 73091.03982599734445103 0, 71023.38067483718623407 73085.12847361249441747 0, 71027.20845697019831277 73079.21712122765893582 0, 71028.24789780804712791 73072.60560866186278872 0, 71028.89136118386522867 73065.05388099595438689 0, 71029.64206845563603565 73056.26186958093603607 0, 71032.07567994107375853 73051.39075517920718994 0, 71035.90346207408583723 73048.61011903201870155 0, 71043.34453854819003027 73045.89949890293064527 0, 71043.55077680965769105 73045.82948288484476507 0, 71043.20429653038445394 73043.03884444935829379 0, 71040.07772448638570495 73040.25820830216980539 0, 71037.64411300094798207 73036.43733417187468149 0, 71034.50929142649692949 73034.69693600780738052 0, 71032.76864049963478465 73030.51597949872666504 0, 71033.81633086793590337 73028.78558362295734696 0, 71037.99059328023577109 73029.82582160607853439 0, 71041.46364560350775719 73033.30661793421313632 0, 71049.11920986954646651 73042.34868655671016313 0, 71051.89930163425742649 73045.82948288484476507 0, 71054.33291311969514936 73046.86972086796595249 0, 71058.85365581126825418 73048.26003894154564478 0, 71064.76856915044481866 73051.39075517920718994 0, 71072.42413341648352798 73052.78107325280143414 0, 71083.20626972650643438 73055.21162930951686576 0, 71089.12118306566844694 73057.65218765453028027 0, 71091.55479455110616982 73064.26370022031187546 0, 71089.81414362424402498 73076.7865651709435042 0, 71086.68757158024527598 73081.64767728435981553 0, 71080.77265824108326342 73089.64950792375020683 0, 71078.17405614646850154 73093.16031111677875742 0, 71074.85774490190669894 73097.65133856312604621 0, 71073.15009209688287228 73100.14190834962937515 0, 71070.33700221033359412 73104.2628511289076414 0, 71067.55691044560808223 73112.60475957047310658 0, 71069.28931184201792348 73117.12579388171434402 0, 71075.20422518119448796 73125.82778470203629695 0, 71079.72496787276759278 73130.34881901329208631 0, 71082.85978944723319728 73132.77937507000751793 0, 71084.93042159246397205 73133.66957872862985823 0, 71085.29340093265636824 73133.82961534142668825 0, 71088.07349269736732822 73128.95850093969784211 0, 71089.12118306566844694 73124.43746662845660467 0, 71095.55581682376214303 73097.16122643646667711 0)))",135,BK_070108018,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070108018.pdf,F,30,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070108018 (BK10),F_BK_070108018,yes,3646.762,Wet meadows
"MultiPolygonZ (((70201.90068125147081446 72716.35410630836850032 0, 70205.31598686153301969 72718.78466236508393195 0, 70209.77073330942948814 72720.50505595254071523 0, 70215.08343092509312555 72719.81489805990713648 0, 70221.41907031767186709 72714.67372187410364859 0, 70232.7291765770787606 72703.37113609597145114 0, 70241.98514975218859036 72692.91874482328421436 0, 70247.80931825630250387 72683.48658695712219924 0, 70254.31819778852513991 72673.03419568442041054 0, 70256.71881115212454461 72674.23447028033842798 0, 70250.72140250835218467 72686.74733294265752193 0, 70244.89723400423827115 72696.67960522379144095 0, 70239.24630563976825215 72709.70258458938042168 0, 70236.32597185725171585 72715.01379967627872247 0, 70228.07644139815238304 72722.62554107198957354 0, 70221.9387907365889987 72728.23682480784191284 0, 70214.91844031590153463 72732.277749280736316 0, 70211.7011234368692385 72733.54803989474021364 0, 70211.46188705354870763 72733.87811540861730464 0, 70211.21440113977587316 72734.21819321079237852 0, 70210.89266945187409874 72738.08907878259196877 0, 70212.00635606385185383 72739.00928930610825773 0, 70217.91301987256156281 72735.87857306846126448 0, 70223.2339670186775038 72732.53780877651297487 0, 70230.84828363241103943 72743.12022979708854109 0, 70250.16043443714443129 72725.99631222881725989 0, 70257.36227452792809345 72723.32570125293568708 0, 70257.30452781471831258 72722.8155845496658003 0, 70281.51689971213636454 72660.1112392018258106 0, 70283.29879829130368307 72651.77933304857288022 0, 70280.12272906456200872 72644.23760767096246127 0, 70270.69351574982283637 72629.79430336687073577 0, 70223.01122969627613202 72673.48429865788784809 0, 70229.17362894921097904 72680.55591648544941563 0, 70210.34820044157095253 72696.40954343971679918 0, 70196.95921250646642875 72705.50162350370374043 0, 70192.48796699763624929 72708.40228711048257537 0, 70197.60267588228452951 72713.30340837710537016 0, 70201.90068125147081446 72716.35410630836850032 0)))",136,BK_070108076,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070108076.pdf,F,31,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070108076 (BK10),F_BK_070108076,yes,4136.457,Wet meadows
"MultiPolygonZ (((71654.80798570640035905 73372.04411347577115521 0, 71650.51822986766637769 73383.90682739864860196 0, 71650.50173080674721859 73383.89682511035061907 0, 71645.03229211237339769 73382.23644525268173311 0, 71623.94649225893954281 73372.83429425139911473 0, 71620.42394275291007943 73371.26393498842662666 0, 71584.50548713402531575 73358.29096706432756037 0, 71583.84552469730260782 73358.07091672174283303 0, 71559.8971377745619975 73349.97906548767059576 0, 71541.27794752840418369 73345.65807694240356795 0, 71538.61334919011278544 73346.98838128620991483 0, 71535.95700038228824269 73353.63990300519799348 0, 71537.26042619481449947 73360.49147049016028177 0, 71537.28517478620051406 73360.62150023804861121 0, 71543.93429633622872643 73363.61218443952384405 0, 71554.91442137726699002 73368.26324849865341093 0, 71592.15280186961172149 73387.22758711398637388 0, 71604.46110131456225645 73395.1994108884682646 0, 71607.45568087122228462 73402.19101040963141713 0, 71607.11745012240135111 73407.8423032986902399 0, 71606.05326069316652138 73410.66294859907065984 0, 71611.79493389269919135 73413.53360534095554613 0, 71635.94955907692201436 73423.12579981989983935 0, 71636.33728700848587323 73423.06578609011194203 0, 71635.07510884825023822 73426.55658470654452685 0, 71634.72037903851014562 73427.51680438326729927 0, 71635.46283677982864901 73427.77686387904395815 0, 71662.66978823390672915 73437.17901488031202462 0, 71698.15101873845560476 73445.39089357398916036 0, 71698.47275042635737918 73442.31018877781752963 0, 71703.80194710292562377 73442.31018877781752963 0, 71723.3368352300603874 73447.28132606254075654 0, 71742.51699354744050652 73452.96262581649352796 0, 71742.21176092045789119 73455.74326196368201636 0, 71744.22464635246433318 73456.23337409034138545 0, 71795.60272205168439541 73475.05768066948803607 0, 71795.66871829536103178 73475.01767151628155261 0, 71796.66691148090467323 73473.68736717248975765 0, 71807.97701774032611866 73479.00858454767148942 0, 71819.9470864364557201 73484.6598774367448641 0, 71835.90992787480354309 73491.97155018347257283 0, 71864.17281922763504554 73505.27459362144873012 0, 71875.48292548705649097 73510.92588651050755288 0, 71879.35195527235919144 73513.33643799061246682 0, 71883.46022144099697471 73506.93497347911761608 0, 71884.12843340817198623 73499.95337624625244644 0, 71883.87269796394684818 73499.79333963347016834 0, 71884.12843340817198623 73499.62330073237535544 0, 71884.12843340817198623 73495.96246321486250963 0, 71868.16559196983871516 73483.65964860681560822 0, 71809.96515458096109796 73441.42998740749317221 0, 71769.53420580095553305 73416.15420487534720451 0, 71762.08487979639903642 73410.83298750016547274 0, 71735.15016284747980535 73399.19032391985820141 0, 71711.20177592473919503 73395.1994108884682646 0, 71694.24899083130003419 73389.54811799940944184 0, 71659.99694036516302731 73374.25461918988730758 0, 71654.80798570640035905 73372.04411347577115521 0)))",139,BK_070108094,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070108094.pdf,F,36,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070108094 (BK10),F_BK_070108094,yes,13937.302,Wet meadows
"MultiPolygonZ (((71487.81274062303418759 73361.29165355410077609 0, 71489.35540281888097525 73358.73106774949701503 0, 71489.55339154991088435 73357.90087782066257205 0, 71463.43537811642454471 73344.30776802201580722 0, 71424.94306899431103375 73332.00495341396890581 0, 71361.04220605820592027 73324.86331956832145806 0, 71347.09225005187909119 73319.2120266792626353 0, 71344.68338715782738291 73331.02472916065016761 0, 71343.85018458146078046 73332.87515249599528033 0, 71340.4926256846083561 73340.36686643211578485 0, 71337.26705927510920446 73343.5876032644737279 0, 71325.02475607380620204 73347.13841561069421005 0, 71318.58187278526020236 73354.22003572653920855 0, 71316.09876411707955413 73357.8608686674706405 0, 71313.74764793623762671 73361.31165813069674186 0, 71313.78064605807594489 73361.40167872539313976 0, 71309.85386955954891164 73367.95317756138683762 0, 71309.07841369639209006 73369.31348877007258125 0, 71320.63600586957181804 73370.38373361808771733 0, 71320.68550305232929531 73370.35372675319376867 0, 71335.98013252348755486 73371.94409059277677443 0, 71367.5593351208808599 73372.58423704392043874 0, 71404.93795763101661578 73374.84475419954105746 0, 71427.69841216765053105 73375.50490522729523946 0, 71427.78915700269863009 73375.51490751559322234 0, 71431.17146449092251714 73374.42465809098212048 0, 71447.88501320104114711 73371.7240402501920471 0, 71464.87079641630407423 73369.30348648177459836 0, 71478.88674866630753968 73369.30348648177459836 0, 71479.94268856506096199 73369.53353911265730858 0, 71484.14994909919914789 73364.98249793650757056 0, 71486.45156809728359804 73363.5621729980193777 0, 71487.81274062303418759 73361.29165355410077609 0)))",140,BK_070108095,BK10,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070108095.pdf,F,37,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070108095 (BK10),F_BK_070108095,yes,6251.387,Wet meadows
"MultiPolygonZ (((70620.13537646640907042 73121.17672064290673006 0, 70627.32896702674042899 73122.30697922070976347 0, 70635.66924232087330893 73121.17672064290673006 0, 70641.73264720830775332 73118.13602499994158279 0, 70642.1121256094193086 73111.69455133524024859 0, 70636.04872072199941613 73104.12281909272132907 0, 70632.2621862412779592 73099.19169096120458562 0, 70625.81930295271740761 73093.13030425187025685 0, 70619.61565604749193881 73089.0993820672883885 0, 70613.52750256867147982 73090.69974819516937714 0, 70613.69249317786307074 73090.85978480795165524 0, 70611.79510117227619048 73092.75021729650325142 0, 70608.00856669154018164 73096.16099760653742123 0, 70605.35221788371563889 73103.36264518198731821 0, 70608.38804509266628884 73109.80411884668865241 0, 70611.41562277115008328 73113.21489915672282223 0, 70620.13537646640907042 73121.17672064290673006 0)))",131,BK_070108208,BK04,01/01/2014,31/12/2100,1,http://10.110.23.25:9000/files/biotopes_fiches_descriptives/BK_070108208.pdf,F,15,616,STRASSEN,10,BERTRANGE,BERTRANGE,36,FERMES (LORENTZSCHEIER),O,BK_070108208 (BK04),F_BK_070108208,yes,790.043,Deep marshes
