,localite,numero
0,Abweiler,62
1,Ahn,82
2,Allerborn,42
3,Alscheid,40
4,Altlinster,62
5,Altrier,113
6,Altwies,231
7,Alzingen,608
8,Angelsberg,136
9,Ansembourg,15
10,Arsdorf,165
11,Aspelt,496
12,Assel,82
13,Asselborn,177
14,Asselscheuer,23
15,Basbellain,72
16,Bascharage,1658
17,Baschleiden,191
18,Bastendorf,211
19,Bavigne,75
20,Beaufort,874
21,Bech,176
22,Bech-Kleinmacher,248
23,Beckerich,367
24,Beidweiler,101
25,Beiler,62
26,Belvaux,2118
27,Berbourg,345
28,Berchem,276
29,Berdorf,474
30,Bereldange,1051
31,Berg,111
32,Bergem,497
33,Beringen,428
34,Berlé,49
35,Bertrange,2156
36,Bettange-sur-Mess,480
37,Bettborn,191
38,Bettel,114
39,Bettembourg,2474
40,Bettendorf,484
41,Betzdorf,75
42,Beyren,148
43,Bigelbach,42
44,Bigonville,197
45,Bigonville-Poteau,8
46,Bill,2
47,Bilsdorf,70
48,Binsfeld,127
49,Birtrange,0
50,Bissen,1009
51,Bivange,265
52,Bivels,51
53,Biwer,313
54,Biwerbach,9
55,Biwisch,53
56,Blaschette,181
57,Blumenthal,25
58,Bockholtz,38
59,Bockholtz (Goesdorf),33
60,Boevange,107
61,Boevange-sur-Attert,315
62,Bofferdange,294
63,Bollendorf-Pont,104
64,Bonnal,47
65,Born,152
66,Boudler,30
67,Boudlerbach,11
68,Boulaide,307
69,Bour,30
70,Bourglinster,285
71,Bourscheid,174
72,Bourscheid-Moulin,11
73,Bourscheid-Plage,23
74,Boursdorf,8
75,Bous,235
76,Boxhorn,154
77,Brachtenbach,87
78,Brandenbourg,122
79,Brattert,14
80,Breidfeld,32
81,Breidweiler,47
82,Breinert,28
83,Bridel,1007
84,Brouch,374
85,Buederscheid,82
86,Burden,205
87,Burmerange,110
88,Buschdorf,189
89,Buschrodt,50
90,Calmus,68
91,Canach,522
92,Capellen,684
93,Chemin de la Forêt,1
94,Christnach,281
95,Cinqfontaines,5
96,Claushof,0
97,Clemency,757
98,Clervaux,363
99,Closdelt,2
100,Colbette,17
101,Colmar-Berg,513
102,Colmar-Pont,7
103,Colpach-Bas,43
104,Colpach-Haut,77
105,Consdorf,451
106,Consthum,120
107,Contern,645
108,Crauthem,468
109,Crendal,11
110,Cruchten,229
111,Dahl,136
112,Dahlem,198
113,Dalheim,542
114,Deiffelt,61
115,Dellen,62
116,Derenbach,120
117,Dickweiler,49
118,Diekirch,1746
119,Differdange,2978
120,Dillingen,78
121,Dippach,320
122,Dirbach,76
123,Dirbach (Goesdorf),2
124,Doennange,75
125,Doncols,133
126,Dondelange,60
127,Dorscheid,41
128,Drauffelt,81
129,Dreiborn,2
130,Drinklange,50
131,Dudelange,5676
132,Echternach,1589
133,Echternacvh,1
134,Ehlange,223
135,Ehlerange,356
136,Ehnen,393
